source,target,value,count,step
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,3Nyk2Ccih5h4RBRzLERU5TAeZgQfa7HSaU,1726900,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1NKZLkH3jKDjn2Sv6p4GC69H6b3rtySAea,546,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,13hJneaXVc4rk7UqQBmKo5bghT2DbmDsQG,6442699,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,1799950000,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,39ve2nANUmc7SMLuewBPFC8gBsLJ57c58L,1449999,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,3Qy6H6i4kwPvBiCB3GQc1JB9xeiRUxT1XJ,17799999,2,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,195KkNaAWGSxZfDxbyirN6eNKJsmfYe2cW,546,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1GdQjiaV8Z2TTgpnJmNN2vRdhYE3uvW6hd,546,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,3FgjvTVH4fqYogFAyKdn4gw9gCvJ8e9nTR,546,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1HxyqSPButfaAmutafsMkZYfwXYt5y9MG2,29999999,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,17Ahxr3xeBNGW5H6yW6W48crfTRtfGoBHM,27546,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,13fLCjkTAcxsBEDoRjDUSw82bNzzYHSdnB,1400000,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1CegLAQvcKebDfZmGyQsYMZLScahHpsuW9,105145900,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1P3YNWQFpVu1yKXaScc1B4bPXifvACco2m,9919999,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,31rCjRhoW5rGrgFj2qhj62Fuuz8ktQakkJ,2220000,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,16tXnXX9DpSm4Q6H6T5PgFsAk5aoQEc8EH,2828000,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1BhWMJc6J577To1HrTXqGEeh5L5S5Cf5nY,265649999,1,0
