source,target,value,count,step
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,1799950000,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1BhWMJc6J577To1HrTXqGEeh5L5S5Cf5nY,265649999,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,1CegLAQvcKebDfZmGyQsYMZLScahHpsuW9,105145900,1,0
1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,other0,130577492,31,0
other0,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,2350730510,1,1
other0,bc1qsw55gkezdyssgy6jg5fuxd6upmrc5r59llefly,49288537,1,1
other0,bc1q4txaaj4rrsw579pcdyxq24fdmvx7xecdyp3e4v,804333,1,1
other0,other1,169692,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,35253055617,11,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3Hi5VHVgmYZYfAPc9aNvQoNXyEv5rYvJQN,4000000000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,2100000000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,other1,4480243796,22,1
other0,3Nc22q8snRFJ8HbR55siqigMAmpeUUwqSY,100000000,1,1
other0,35zD5f5pSw83wqSr4y2meMkLtyz76F2K5E,28375895,1,1
other0,other1,15218172,3,1
other0,1KBr4BupGaLsaJYJTQDf73VgBGDMeaTWij,156011320,23,1
other0,3JitzGThfDVBydXhHJyGFPJbBy8WUQ6rxF,5111536,1,1
other0,3GcQRL9h1x57YyyxEo64WR3avCB26deHJR,2916503,1,1
other0,3PiXpW4Rs9NufsEd3h5sV3KadPX8HxNsnR,2708050,1,1
other0,other1,417287,1,1
other0,1368eJN3LMC4of3EguXotZ1rEYm5wyKrbw,6496566198,1,1
other0,1Gi7scgt19CidGz8ZpHTrtsMUfXLS6Wt8Q,261323414,4,1
other0,15oZc5o3s4Q4YSnw4aFrwCbgV5y2gGENv3,4780744876,1,1
other0,14CmkbrmTYcR58ftWLm5PboNGo8FSRHmtm,258663628,1,1
other0,1ALhm6KGae44bZRGrNoZmursh3mhTMkdDe,193122602,1,1
other0,other1,145683540,24,1
1CegLAQvcKebDfZmGyQsYMZLScahHpsuW9,1GrgX7YWKkzTGMXQt9XywJa6LXWHgwDo8o,21510000,1,1
other0,1sPS7hZ8k1wvMKdei3voNnVzoraa6gQ2v,220000,1,1
other0,1EEqRvnS7XqMoXDcaGL7bLS3hzZi1qUZm1,154567514973,8,1
other0,14zaovwEmvBHyR9vLH4ZWuyo4vUcT5cUcr,49950000,1,1
other0,35Y8c57XcGpbyfSTyn26Tfn8Fbxj469J1S,20876691,1,1
other0,other1,20873708,4,1
other0,3N5s48jie5dsdwYJdzhQAqnhTFF1pVEkRT,982355,1,1
other0,3GyeFJmQynJWd8DeACm4cdEnZcckAtrfcN,25190156,2,1
other0,17PpCEuQUT7xxP1ocfhvFdwQyrB5dG1dQP,97438294,1,1
other0,115E3baxJZsJHeTay1jvUh3nSTHBJhkskc,6128474,6,1
other0,3GyeFJmQynJWd8DeACm4cdEnZcckAtrfcN,18084058,2,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,16988382932,8,1
other0,bc1q6w2yfm9p69luekemn33rjjgzewz382cu6dfa5t,629000000,1,1
other0,3KjiF9vJGkysUJSZqbBeZPQ6qGb1Ku1AJ8,8102372,1,1
other0,other1,25786226,26,1
other0,11rn5Bh1oES55HnDQYCR7cp42LBQj59j8,314926833,3,1
other0,1GK6PStuaoPGS43QufmbfpKBYfpdkX61tZ,18845751,1,1
other0,bc1q8ls2sy8cu9xcss8kgys9va7uqal5a672teawtw,34985682,1,1
other0,33LpShFp4CbPGG8997YzZ5VX3Ya85V2FTA,363000,1,1
other0,other1,175532,1,1
other0,3Nwg3gZUDbctRR3RgzFiV69PPmDbGndXEt,3171260,1,1
other0,34prTGfYwnp3RpcE2sqHd7674tEjumN9gc,31722,1,1
other0,3HhMKf7nXJKVpdUogpL9Vxa9FMeYPruZkz,885427,1,1
other0,bc1q53wfuuqmfukgxcw88s52xfgjuzj0dtp0cqg2ew,61351,1,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,593384284,2,1
other0,1FoWyxwPXuj4C6abqwhjDWdz6D4PZgYRjA,78664589,10,1
other0,1CRxmDmrUWTx3n1Ybw8QgGaxzZu3EerHrf,4241254,1,1
other0,114uXhNXD53C7UrCgZyrawb1YxjLvSdSoW,220000,1,1
other0,other1,170000,2,1
other0,3DBSyC4G3BD1tJCHf4TvY6hDsU4zKWoDXu,2462412,1,1
other0,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,838981,2,1
bc1qsw55gkezdyssgy6jg5fuxd6upmrc5r59llefly,32C7m8WWR7umC2WCDHhFoDYw5mYf9oo5zT,20000000,1,1
bc1qsw55gkezdyssgy6jg5fuxd6upmrc5r59llefly,3GLgiUHbivsWsVikFeUUTgrMwoo2znEt3n,17951600,1,1
bc1qsw55gkezdyssgy6jg5fuxd6upmrc5r59llefly,1ESEvj1EaN791eUCERgYsM1AqJinWTRcqd,15245000,1,1
bc1qsw55gkezdyssgy6jg5fuxd6upmrc5r59llefly,other1,50678404,22,1
other0,3LyrtA1Ko1bJRRAR3uSSeKkcDskgbDdkah,14627750149,4,1
other0,3MjgzNte9XH9NCgnoT8nFDusuNoALsJPHL,82190000,1,1
other0,33BzfWCW36utK46RD3ucAwY55CZnpcmiEp,574200,1,1
other0,other1,221328,1,1
3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,bc1qvx4ara9g7jfcucz7s3k43wk6hma363l0e54vdd,74200000000,15,1
3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,1Lets1xxxx1use1xxxxxxxxxxxy2EaMkJ,547,1,1
bc1q4txaaj4rrsw579pcdyxq24fdmvx7xecdyp3e4v,bc1q25255qzr7ehup4gkyltka7cs4jfvjj4ppzhytn,3019882,1,1
