source,target,value,count,step
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,15yZMX1wA8zgQpyvkWZS6Vjb5ri2WfU5hx,3337115,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,3EdFLhwzxd2EfXsoRJb7Es7j2EyZDqwSpn,1738260,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,3D6ZxCyuSQ9G5nKSkQ5k7tQHwp4T5jmyFt,4171700,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,3MHyZpLg9xsjyWbsmYpDAtBSNW4VxBuj3e,8601924422,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,3HvbcUuEWsJEcJjw4YSSQZFuu9G9LAsLwL,61941,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,39HWUXB67L1yDnz8KTJpREre3DrEJEZrMy,827310982,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,34TDgFxcAF73szQdJRWQjyojsNKfXrLxmk,2871124,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,38KU4jgmcimZ1HtQ7M59sJEqVH5CMt4aY8,8170237,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,bc1qayjdvp3wfmvlejqq9mlvtura239q8nu6nejwdh,30188262,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,19witvJuasM3SR5ME1hEP49SdTFyZgS5vQ,3191450,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,36rndx8rQ4yd2U92maYzgyegR5B3tFgdPL,3510999,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,39pSkPD1YiZ9TAr4M5jXGLeYosBMvk8HVU,12500625,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,bc1qtstlxxkara6e8ume6s3zxneulpgt6c9wmtnr0h,5774,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,3CEX67enaPRLTw6xXG2UQ3NzyjBwNEJjB6,508000,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,3DoAiDT6iQqNoMToLDZNqW7WKJk6MqgsMS,1086353,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,1QFnn93bqKEszu1zjHbmaV2eaNxv1rGHe1,200000,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,39H9ADEaLhL1JV5EmDGJytbihJmFnUmEqT,64619773,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,1EftNWBoqQaeG71C3tqyvW5ExaxXQYFR1g,7490000,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,3BMEXU3QgqLwBRvJSoba1r5cg3sjX22JUt,18209728,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,bc1qgxglhm2m3vpa6un24packtknwfhhls6gur3qn0,1078477,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,392Z5Td2Az38Q8c1v2raXzgGms4HDfctB5,8411671,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,1JSik5F8FkjWjnFEZQUt1tVETSp7mVU7Ci,3759596,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,18uZ6gQS7PmQLAgPSm4cyfT5PmdnwE5Vdd,34950000,1,0
1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,1QJZyFotzUwF3X9moRNv7PyyGXPF2X8cKi,400000,1,0
