source,target,value,count,step
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1JNzCLejN5114J2i791haJUrjgAp9Shqmi,1632658,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,14zWpaAPZgmK58wapu61wDSDJwoTTf3ATp,2021947,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3C5fcttZ4ZiFc7kfaC6cDg37U6iJcXBrm5,182179,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1JLzwh2TDdRdXVtDZ11HEQKUYhJNbeZvWo,31511527,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1AeCnT7G1bGqdpJw5QfgZUaphEqV5S91R,100000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1AkAHC6JGiEEUeTR3RXzMi1kGubB6oDJ8s,100000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3MwQfjNhTgHZHo1NzgsBWwh9sJJnSURipk,22955145,3,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,17bJr5qAn6qq2xgr8Pua4KqEeP7aGzEngS,140000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,33GrwB9Sm7aBD8vTKwT9TgaD3n8ANf16ng,186386400,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1HzgazEsqjqzrN44CquN6QLuYMdm6uLvGi,3130000,2,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,132mjT9YDX8hLkAnxtHUnaa7ECvPz8KETG,2792815,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,16zN58WPCKTBfWBjD8hs5aXQUqsxk4fBvZ,434290,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3M5oC42iMt5A4dFWJaPwbMqELTvadP7Web,421264,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,37usmht3ddL7NQCourV9Gevn2PDSREzdPF,2945700,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1ABb9TRH8kriLmH64thbigrcBGkFKKWpeQ,4644000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1Usd2dooVsEmEuVNDwBmALiSQmTDRaZxv,269649,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,33XF3rcrjnGSZLbj39TNoLNGqxr5Zn8K2S,1085308,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3E58JkJtWZXNTomgFshNTgnroZx9JvqehQ,1500000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1PBW6aseg2FmQYUq6Y5H4twH28YtmoA3g9,1506541,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1d1ewHFQ3eGEqAsTU4Q3jMHbzdzuvKbiX,575892,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1CDnC5zkyNbpUtKP1tbbPM5bZZf392rXPx,100000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1ykDG5vCEoBXyqK3sd22iixZSNjPNQi2L,1974974,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3E1xpE21dVqbA7vBt1r47tSzHKFf59x4Sg,763973,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1PmyHMpPyNm8Mxf8e63npYjvYpjBnyx2LW,1519784,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1GL5VFrRH5fJnU6HgdkwdBsBuczGMzDXBS,14257130,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,185auJMFTbwAro54vD1myVJ5di6kZamKqB,4312973,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,38dtt8PXhPgRaFpbqjBDbjyQ5g6PPEsRye,36452700,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3AEmABoaq1C2pFiTHFNeKT4562smXqNExw,726631,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3NNULzAww4KWgVnADwy9RyJuPYB8SUavgJ,2949300,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,31jcLCAutRpxZRL2bRf5rr4GwYBJebxHoy,1351400,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,15Ad9yvzJpEwoKytaJ2MUbN7XPafJ4v99y,100000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3FWDaoQnNY2UckG4NwYyLGV13cLnxiY1zf,3000000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1EB23ZhNeFKMfmyVHhoUbmuoSSbxt8V7T2,4900000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1FxoKcfH6kjup1hMuKRnNBNw4jPtEws5bM,1500000000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3GAL1zMvmn4TK7mZwX4zpn5PGn5dgcEdEh,15042428,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1HGvhcPibqq8bHuMYCrJBiW2knFUC6v3jc,3930000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3B3RKZ2XJPcr3WV9VHS1Xd8E3Xor76kExj,260000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,18sv4DifBvydQ1PwYnoBKYvKGcRcy7NfY1,1496000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3FfzUcswC6ZLL121S6zVwLGee8jLLHEHoJ,1574023,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,13rnyDqMh4fC8G4iq2gFBEn3XKMpbpg7XZ,490000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,16qrbXNjLtrixr9gmhQTbaSDaFoQFHbCAA,1500000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,14xJQ4a9u7FaYZ52otpWMB4sYKv4qKMk31,400000,2,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,14AKVqsQj9PsyiZaNwn462K9ePsnXjixGh,2664833,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1NZFcCRodYtQy8DEKhyYFfLVRPkDxVcuoB,978364,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,12q9LJwUfXzty3aZ6ASC9duA8kxcLz1WGF,953017,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1CeXMSGueMfZaJVL24uNyTbQPHVDo5mRjX,1803691,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,13p1mRA7a31d72wvT3d7QkEzFbTRQ2cmt4,3524556,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1F6trfedfpR2SzenE6StCCLfsxeoPc1nEi,7850000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1GbwWPzoXFbWx2D6ro8TvXFSy15FMYVtPW,1600000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1EfkCziuB44NE7P3F2GW9QuiAq7HbxRXJ5,1490000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3LS6N3WC63PddxcEDRTSzdrkq83BVm2hrk,1320000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3ArnuJi7G9Q6y5T3FeMtq6QQWgG8QSinqW,9986990,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,16ankGEPJYGKKpSYt7EjxQLmZrdyHzQEJS,2250000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,14t3ZAAeAzu3VG9gXNvnC7KjTW4J6gxx3a,100000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,17a447xPrLf2b9Mc7zxmF5TTY5dLXETwn8,157000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,35yLj3AujMs5pNZ3R9LtwJyUkPEAxHqjE9,1550000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1GGMCgG8QCmALvGwEaBjBu5sFQdmjSaPEQ,18090000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,bc1q8ymxjdu2fnkczlcg8ynwssjre7fk3wfsszcz9s,355941,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,19BMLfJzRRAmKh63R74dqsgiopS418T5X1,3300000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1JtsgNPC3dQXhCKiAbMRLsCUH3DNVbDHhs,500000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1JnmgZr3CMXE7hBUTGb5vqUXg294X6vfBc,13806368,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,12K5Nzae8bLSmkLXX7s5kZaNmibgdLZJ9e,16500000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,13wdsNdU3P22r8NP6mH9NcxrwALqSMNTds,372385,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1MoSoP67FXEY3cN9Fktx6ha9b2Gs6KdD9N,1286389,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,149ySYp8UyBaU5NaNu94fZuY8W5pckczAZ,348330000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,3KygHkL8gUUDfyeQRK9teXfXcM4QgsFhxN,8200000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1DSP9oexyUrqrNPuxefWxUiA8dwQhhXUQ4,62067309,1,0
1JNzCLejN5114J2i791haJUrjgAp9Shqmi,37tmuZZgBZFNj3bege1fawknvc7SLZmfme,844896,1,1
1JNzCLejN5114J2i791haJUrjgAp9Shqmi,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,5146231188,2,1
1JNzCLejN5114J2i791haJUrjgAp9Shqmi,382UZb2VHfh1yZhH2UFkHPoj1Wv9fz4CJm,933492,1,1
14zWpaAPZgmK58wapu61wDSDJwoTTf3ATp,3HiAQfxXvXgtH3JthF8uwxkuofKM7apLpw,936831,1,1
14zWpaAPZgmK58wapu61wDSDJwoTTf3ATp,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,193477410,1,1
14zWpaAPZgmK58wapu61wDSDJwoTTf3ATp,3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,2234457856,1,1
1JLzwh2TDdRdXVtDZ11HEQKUYhJNbeZvWo,1GaGyq5QKk67UwyCbjKXRucgLDNCk1XZK3,33741712,1,1
1JLzwh2TDdRdXVtDZ11HEQKUYhJNbeZvWo,14zBKD2kL9CpwyJ9xP6ZEYLtZD1czsqejK,580,1,1
1AeCnT7G1bGqdpJw5QfgZUaphEqV5S91R,31rfNmts4ucjRy9CXH343rCY8J3WSfDQ73,168741998,6,1
1AeCnT7G1bGqdpJw5QfgZUaphEqV5S91R,bc1qfmlxeemyk8a9stz5z4plpqgj4255hcx9jsqvyj,215036703,8,1
1AeCnT7G1bGqdpJw5QfgZUaphEqV5S91R,3J9XfpeFa2azCZL5BRz2uVBvPhWVxjuV4K,10200000,1,1
1AeCnT7G1bGqdpJw5QfgZUaphEqV5S91R,bc1qhmk9zyvkh73snw7kmc95qj5pj7wnfltunjqcz3,31398853,2,1
1AeCnT7G1bGqdpJw5QfgZUaphEqV5S91R,3LcQ7x5QRQ5UA8eQsATjj8qemBCovvuBhR,591321,1,1
1AkAHC6JGiEEUeTR3RXzMi1kGubB6oDJ8s,1ykDG5vCEoBXyqK3sd22iixZSNjPNQi2L,1974974,1,1
