source,target,value,count,step
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1FxoKcfH6kjup1hMuKRnNBNw4jPtEws5bM,1500000000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,149ySYp8UyBaU5NaNu94fZuY8W5pckczAZ,348330000,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,33GrwB9Sm7aBD8vTKwT9TgaD3n8ANf16ng,186386400,1,0
bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,other0,335757074,68,0
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,5146231188,2,1
other0,382UZb2VHfh1yZhH2UFkHPoj1Wv9fz4CJm,933492,1,1
other0,37tmuZZgBZFNj3bege1fawknvc7SLZmfme,844896,1,1
other0,3JjPf13Rd8g6WAyvg8yiPnrsdjJt1NP4FC,2234457856,1,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,193477410,1,1
other0,3HiAQfxXvXgtH3JthF8uwxkuofKM7apLpw,936831,1,1
other0,1GaGyq5QKk67UwyCbjKXRucgLDNCk1XZK3,33741712,1,1
other0,14zBKD2kL9CpwyJ9xP6ZEYLtZD1czsqejK,580,1,1
other0,bc1qfmlxeemyk8a9stz5z4plpqgj4255hcx9jsqvyj,215036703,8,1
other0,31rfNmts4ucjRy9CXH343rCY8J3WSfDQ73,168741998,6,1
other0,bc1qhmk9zyvkh73snw7kmc95qj5pj7wnfltunjqcz3,31398853,2,1
other0,other1,10791321,2,1
other0,1ykDG5vCEoBXyqK3sd22iixZSNjPNQi2L,1974974,1,1
other0,38YpZybc5suY1Up6amr2SbVbG9xrNchUdN,349466982,6,1
other0,12YF9FRnMshzEKQxwaHSdDE1zRh3rb9SLz,32574961,1,1
other0,1GL5VFrRH5fJnU6HgdkwdBsBuczGMzDXBS,14257130,1,1
other0,other1,111087490,34,1
other0,1PHHramm7aqZMSyCkPCtNBHxvYprWZRZn1,269418713,15,1
other0,3PyrmojQQRXRFhzpW833H5fjCyFHYxZGry,9249400,1,1
other0,1Pryfw3u5g214begBb7Y4MR4AfLrs6jYc,5960000,1,1
other0,other1,12440040,9,1
other0,3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,2099950000,1,1
other0,33FACi9w7wvruuWKjXNbYw7pRnvPzc121b,150000000,1,1
other0,3PTjztppdGZv7JqWjrLwekhxpomMpxiFH3,93944400,13,1
other0,other1,69557422,33,1
