,source,target,value,count,step
0,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,1FxoKcfH6kjup1hMuKRnNBNw4jPtEws5bM,1500000000,1,0
1,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,149ySYp8UyBaU5NaNu94fZuY8W5pckczAZ,348330000,1,0
2,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,33GrwB9Sm7aBD8vTKwT9TgaD3n8ANf16ng,186386400,1,0
3,bc1qwqdg6squsna38e46795at95yu9atm8azzmyvckulcc7kytlcckxswvvzej,other0,335757074,68,0
4,other0,1QBNJwfht8gLou3JVEFHA6X1jwoQ7RKJVo,200000,1,1
5,other0,3BfNKtS367XXB2cwbaM1QHygYernYW6vS1,115346,1,1
6,other0,1Cvy94B3ww73UetckKpq95K26S5qAd8y7x,17203700,1,1
7,149ySYp8UyBaU5NaNu94fZuY8W5pckczAZ,other1,137179366625,26,1
8,1FxoKcfH6kjup1hMuKRnNBNw4jPtEws5bM,other1,119080851638,24,1
9,other0,other1,3213198210261,5198,1
