source,target,value,count,step
1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,1o9eCBdTC9BzpMmVZohkgBGH5SmDqFwrD,494070000,1,0
1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,18oJspjdkAJ2ZjFszrb5WQCnJzFELntMGh,19887713,1,0
1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,3MC3U7J3NwoSq2nGofk6WSqddXzYrSaKAt,11816674,1,0
1LaNXgq2ctDEa4fTha6PTo8sucqzieQctq,other0,50179002,29,0
other0,18gzYcTU7py9sRXnKrmNcqA16C5Ctvk9Bd,76000,1,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,24119325014,12,1
other0,bc1qq904ynep5mvwpjxdlyecgeupg22dm8am6cfvgq,14938719,1,1
other0,3NC1rfYCdPJ5WtT74UJjMGWRiHw3Rcf321,5460577,1,1
other0,other1,13226861,19,1
other0,18BN1bjQYxFup8BtF1GZFptkjTbPFcvtTZ,219176,1,1
other0,3Q83wP3oVx1gt5RaFBHna1E6wanY6SQidW,1153333,1,1
other0,3MUf8PZLTPq4pVyiaGE5TtRiaHdgNAcMST,751600,1,1
other0,39He3aZDpfkKVhHo2W337QAKUhirFXAr8e,473007,1,1
other0,other1,382295,2,1
other0,1BUqCrHA78hoSRJkwrTdtPHer7JqhGL9eZ,130000,1,1
other0,36QfwqqT6uDfLxY55Z23jRGc33EdU9vWFG,1277932,1,1
other0,3ANp6ZEP6krBcbixpsKuAeyaXJMBE2Yq6v,198000,1,1
other0,1HjPSMXXT7Yo2ePF3YeUTYP4YWBx6DAYGm,34190,1,1
other0,39znAZoRfKgtm2fs4fpdGYix655GYhfBus,212124934,1,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,9755495601,1,1
other0,3HvkLev7fHUXKDEpD9LkkjeK1WBe6gtHGE,399577824,1,1
other0,bc1qgj559p46g0mnnqt04ualhnxltxe4y92v4rdc4k,284482637,1,1
other0,1FfqcHGLMSujhB6W4oHFhwazbu4d5qqm95,37695869,1,1
other0,other1,70254688,44,1
other0,3AAvKGcR6bhScUX7CSY6jShYRJH9hPBvh4,102857870,1,1
other0,12FF8pHhqEJoMGAHqCg5FC4qotTzcxXWCN,100000000,1,1
other0,36wL37vyYhDF9F7dS1JCqLsaD8nBepRXQ5,5948983,1,1
other0,other1,22123236,29,1
other0,1ExNPX6on2GaKZVH37vstzUjCxQGwodg3N,151066,1,1
other0,13JMfCCXBSa5aCygL3LM32szNQ9pitPxU7,99500,1,1
other0,1EaN31jYkEvqL2prQynQSQY4yDajJyP4yt,828125,1,1
other0,1E5BQfWZVtsp5DZtCjJ3YQ57H6bDrxctZ2,3920,1,1
other0,1De5HFUfSERwjANxg3qyja2km998z2xx3R,7657,1,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,16004839381,4,1
other0,1FAmMdUz2WivADdkDPG9uW7W5c4F3D711B,3925164,1,1
other0,other1,400963,3,1
other0,18YAnKTTL8QFkrweWmBkbN7RAYVYoV7M9D,1800793,1,1
other0,1P5xaNN3cA3ZyAoKM7vSKjGbR9SxPRsdsE,1249893,5,1
other0,19D1iGzDr7FyAdiy3ZZdxMd6ttHj1kj6WW,830875,3,1
other0,other1,1824764,17,1
other0,35fVxx81YMBk2ixGUhVFa8RzXtSy62GBLg,1062190,1,1
other0,198cbJR7LTMNyeFx5EBpK4Zog4BAtf6rsp,197174,1,1
other0,1AWbE7iLTAY4ZygsdKkvinuEq3L1eK26rG,52468,1,1
other0,1MAwttd6eZ3TQGjwb7VazdPQeh3k1Efo2x,940038,1,1
other0,13cG9bg63rvAHEviBTao2of7nfDMzPppek,34200,1,1
other0,12nj42gRr71HwMujKctd4PCDFgyV8CyA8D,36794,1,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,15273257230,9,1
other0,1JidKRKQ9y3JEj9ZmBhxrUwBvKFuiQcf4p,3394582,1,1
other0,other1,5607219,11,1
other0,1LQtsaSdy9wZfhPSpwfNBzwNuFx9ovLgy4,264200,1,1
3MC3U7J3NwoSq2nGofk6WSqddXzYrSaKAt,34Fz1auwvAsUytrufHWcD4V9TpYWQi6Liu,4045171,1,1
other0,3Qt7ZW1KTino6VMwvaxavgyZ4sFS8kiARz,1579919640,1,1
other0,3711KmZtQAQ4DaQiMKLxPPW9GAgoWJYxFn,1375205211,1,1
other0,3Cg64tLhDW8o68RgWU2MGVGmdD7iKvyJky,1108714762,1,1
other0,other1,4930983806,33,1
other0,38F1hiwP1vpTjFhca273s1YCPqb3GK8pCu,167192800,1,1
other0,3DcVdfz71j1kRK1RThkrA58Uge6FTjoeJ4,90310100,1,1
other0,39C5JCvHcE9R3DgeTQBoryM7LPPrEiUD3j,75451300,1,1
other0,other1,732289575,33,1
1o9eCBdTC9BzpMmVZohkgBGH5SmDqFwrD,14rPzwfmqoWGv1WXqQUs66UxwDXWU5BRHa,2400000000,1,1
1o9eCBdTC9BzpMmVZohkgBGH5SmDqFwrD,3J2yspHmCMteBkGqUe3SGMuoeadnteg9WZ,999950000,1,1
1o9eCBdTC9BzpMmVZohkgBGH5SmDqFwrD,36Ps7tmkCgHMUzSdErCVMeURNHRw1c2y12,972172600,1,1
1o9eCBdTC9BzpMmVZohkgBGH5SmDqFwrD,other1,3321526987,43,1
other0,3KpVUL3QxurC35Y3FGqR6DghMuP9fiTYsn,653464,1,1
18oJspjdkAJ2ZjFszrb5WQCnJzFELntMGh,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,36860097516,11,1
18oJspjdkAJ2ZjFszrb5WQCnJzFELntMGh,381kguagY6dzzNqWQpiNbJkTjkzM291rfQ,94155046,1,1
18oJspjdkAJ2ZjFszrb5WQCnJzFELntMGh,1Fzb1avdqLF7akCJ45UhENNR6o2G8nym3m,50000000,1,1
18oJspjdkAJ2ZjFszrb5WQCnJzFELntMGh,other1,33066607,23,1
other0,15KXvEe84FZKQjqVojcYCWuDQHKzyDgP15,1878526,1,1
other0,3JRWnSnwN5v4ptfVUK659E8ceZhAti7tjc,56376,1,1
other0,1Dr8QNwaGrALnCHSWDafbhFFCiHshY8mTC,2000000000,1,1
other0,3L1LYceHRbuZJuJmV37zcQPXZmfaUxHjNR,534676280,17,1
other0,1F6ijdrjJZ7VoXLMGZj9wYcrjcCqfcYppC,169000000,1,1
other0,other1,156579743,9,1
18gzYcTU7py9sRXnKrmNcqA16C5Ctvk9Bd,1bS3Hxigj9Z63cAF2Yh9LKjbgM14DXbMc,1200000000,1,1
18gzYcTU7py9sRXnKrmNcqA16C5Ctvk9Bd,3HFSrL99AT5Ug7k7cwnTBCjovKxm4Ba3D2,146500000,1,1
18gzYcTU7py9sRXnKrmNcqA16C5Ctvk9Bd,1nFRepL1ExV2Hh28FbajxExpJNntXrQky,101729000,1,1
18gzYcTU7py9sRXnKrmNcqA16C5Ctvk9Bd,other1,307928873,34,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,1BTFhcLsbkxgNBzxxPzhyUFrH6vY5Qz8PA,15542296,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,1JNk6HgGQpFtha2Nhvk1wzXX3usNPG92Zk,11446194,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,bc1q0elgutv2jee0tkxd0ehx8c50c8m3fyjw9s4ygt,11132168,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,other1,85458698,34,1
other0,1Lets1xxxx1use1xxxxxxxxxxxy2EaMkJ,547,1,1
other0,39ah6beqP3Wc2LWMye3hif2WddA2KYYE9d,935778,1,1
3NC1rfYCdPJ5WtT74UJjMGWRiHw3Rcf321,3Q7xfoAsPu8Kgs3MfxxRxYyxggczQJXUCW,1025675,1,1
other0,3LxmPBUzNUixmwKhJZxPWEquzpRf38AJnR,1012402,1,1
other0,34HvzSd3GZRKNRDRtfEhW45af3Jm8p2H6r,903390,1,1
other0,3HaPKe9DdRsEkKCKpFz3Ddfoia4GzqLq46,1019439,1,1
other0,3Pf8JKpcAZfUYBD3qMTbqVFSLTWCqwNHMj,915085,1,1
other0,bc1qlnwd6scejuj8eygnpuyp4wcmrz0983plyz874r,173347,1,1
other0,3N44N1vEjP9HdpQ94ZynTDS8T1funJsoo4,650341,1,1
other0,3Jnq19YkvKH3fr7Z7j2u8Qcj3a1enEhfuU,286706,1,1
other0,131gjcNQ7V5iZpSHnDXZHJHzzYrs6fMePV,220138,1,1
other0,other1,556234,10,1
other0,32uN1MuUNokbqjoLM7sVRSvNcrdeokudoE,1020951,1,1
other0,38nXxE52aQAqMNvYZWvDe7C6hhYurvyGiQ,966985,1,1
other0,349Ak3mVrdBx5jAUX4LjepWRAs5sqcusKC,24327,1,1
18BN1bjQYxFup8BtF1GZFptkjTbPFcvtTZ,1528Uw22rzEgKXAFk7KZ8AtvLQv3JycLQw,1202,1,1
39He3aZDpfkKVhHo2W337QAKUhirFXAr8e,35G7kN6PU538Ty9aX1RiqHRUGqJueEJt43,3053073,1,1
other0,3MCUufr93z3mKohbpVzuJ61JCWwadmksLj,16750000,1,1
other0,155qhp96xUcn4KawixBBtbDWREfbtBPurD,13789000,1,1
other0,3Bqs5ngS7CHKjBtxVGQ8heFNoYjJxWnb1L,10000000,1,1
other0,other1,53745346,45,1
3Q83wP3oVx1gt5RaFBHna1E6wanY6SQidW,1DgUDM7zPiQuyDA3LkjwiJAp5jhA5ALpHr,13000000,1,1
other0,1PW2HF4WqpMoLeprwfETxV8wFRpJEfBcFT,1752008354,1,1
other0,1Cn8hmxKG1vPeTK8tNz4pXYDDVtou5bBGU,199960000,1,1
other0,1Jm6QtmQB6id8vmKr9dne2qkxCWPjEpYr2,94493871,1,1
other0,other1,187730749,43,1
3MUf8PZLTPq4pVyiaGE5TtRiaHdgNAcMST,3NX9SZoCaXVEHWmEpSp49heY9kx75hksjs,1200000000,1,1
1BUqCrHA78hoSRJkwrTdtPHer7JqhGL9eZ,19JiBiQrxrgGtbM9CRUh6MQiBqZNQJtV2D,101000000,1,1
36QfwqqT6uDfLxY55Z23jRGc33EdU9vWFG,177ST2Gf5HhtQJ7SHiio2q1D24gwGvkTEC,562100,1,1
